Sample in Buffer,Sample in Window,TRIGGER,slc3/cpu/cpu_control/state[4:0],run_i_IBUF
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
750,750,0,"s_0",0
751,751,0,"s_18",0
752,752,0,"s_33_1",0
753,753,0,"s_33_2",0
754,754,0,"s_33_3",0
755,755,0,"s_35",0
756,756,0,"s_32",0
757,757,0,"s_0",0
758,758,0,"s_18",0
759,759,0,"s_33_1",0
760,760,0,"s_33_2",0
761,761,0,"s_33_3",0
762,762,0,"s_35",0
763,763,0,"s_32",0
764,764,0,"s_0",0
765,765,0,"s_18",0
766,766,0,"s_33_1",0
767,767,0,"s_33_2",0
768,768,0,"s_33_3",0
769,769,0,"s_35",0
770,770,0,"s_32",0
771,771,0,"s_0",0
772,772,0,"s_18",0
773,773,0,"s_33_1",0
774,774,0,"s_33_2",0
775,775,0,"s_33_3",0
776,776,0,"s_35",0
777,777,0,"s_32",0
778,778,0,"s_0",0
779,779,0,"s_18",0
780,780,0,"s_33_1",0
781,781,0,"s_33_2",0
782,782,0,"s_33_3",0
783,783,0,"s_35",0
784,784,0,"s_32",0
785,785,0,"s_0",0
786,786,0,"s_18",0
787,787,0,"s_33_1",0
788,788,0,"s_33_2",0
789,789,0,"s_33_3",0
790,790,0,"s_35",0
791,791,0,"s_32",0
792,792,0,"s_0",0
793,793,0,"s_18",0
794,794,0,"s_33_1",0
795,795,0,"s_33_2",0
796,796,0,"s_33_3",0
797,797,0,"s_35",0
798,798,0,"s_32",0
799,799,0,"s_0",0
800,800,0,"s_18",0
801,801,0,"s_33_1",0
802,802,0,"s_33_2",0
803,803,0,"s_33_3",0
804,804,0,"s_35",0
805,805,0,"s_32",0
806,806,0,"s_0",0
807,807,0,"s_18",0
808,808,0,"s_33_1",0
809,809,0,"s_33_2",0
810,810,0,"s_33_3",0
811,811,0,"s_35",0
812,812,0,"s_32",0
813,813,0,"s_0",0
814,814,0,"s_18",0
815,815,0,"s_33_1",0
816,816,0,"s_33_2",0
817,817,0,"s_33_3",0
818,818,0,"s_35",0
819,819,0,"s_32",0
820,820,0,"s_0",0
821,821,0,"s_18",0
822,822,0,"s_33_1",0
823,823,0,"s_33_2",0
824,824,0,"s_33_3",0
825,825,0,"s_35",0
826,826,0,"s_32",0
827,827,0,"s_0",0
828,828,0,"s_18",0
829,829,0,"s_33_1",0
830,830,0,"s_33_2",0
831,831,0,"s_33_3",0
832,832,0,"s_35",0
833,833,0,"s_32",0
834,834,0,"s_0",0
835,835,0,"s_18",0
836,836,0,"s_33_1",0
837,837,0,"s_33_2",0
838,838,0,"s_33_3",0
839,839,0,"s_35",0
840,840,0,"s_32",0
841,841,0,"s_0",0
842,842,0,"s_18",0
843,843,0,"s_33_1",0
844,844,0,"s_33_2",0
845,845,0,"s_33_3",0
846,846,0,"s_35",0
847,847,0,"s_32",0
848,848,0,"s_0",0
849,849,0,"s_18",0
850,850,0,"s_33_1",0
851,851,0,"s_33_2",0
852,852,0,"s_33_3",0
853,853,0,"s_35",0
854,854,0,"s_32",0
855,855,0,"s_0",0
856,856,0,"s_18",0
857,857,0,"s_33_1",0
858,858,0,"s_33_2",0
859,859,0,"s_33_3",0
860,860,0,"s_35",0
861,861,0,"s_32",0
862,862,0,"s_0",0
863,863,0,"s_18",0
864,864,0,"s_33_1",0
865,865,0,"s_33_2",0
866,866,0,"s_33_3",0
867,867,0,"s_35",0
868,868,0,"s_32",0
869,869,0,"s_6",0
870,870,0,"s_25_1",0
871,871,0,"s_25_2",0
872,872,0,"s_25_3",0
873,873,0,"s_27",0
874,874,0,"s_18",0
875,875,0,"s_33_1",0
876,876,0,"s_33_2",0
877,877,0,"s_33_3",0
878,878,0,"s_35",0
879,879,0,"s_32",0
880,880,0,"s_12",0
881,881,0,"s_18",0
882,882,0,"s_33_1",0
883,883,0,"s_33_2",0
884,884,0,"s_33_3",0
885,885,0,"s_35",0
886,886,0,"s_32",0
887,887,0,"s_9",0
888,888,0,"s_18",0
889,889,0,"s_33_1",0
890,890,0,"s_33_2",0
891,891,0,"s_33_3",0
892,892,0,"s_35",0
893,893,0,"s_32",0
894,894,0,"s_1",0
895,895,0,"s_18",0
896,896,0,"s_33_1",0
897,897,0,"s_33_2",0
898,898,0,"s_33_3",0
899,899,0,"s_35",0
900,900,0,"s_32",0
901,901,0,"s_1",0
902,902,0,"s_18",0
903,903,0,"s_33_1",0
904,904,0,"s_33_2",0
905,905,0,"s_33_3",0
906,906,0,"s_35",0
907,907,0,"s_32",0
908,908,0,"s_1",0
909,909,0,"s_18",0
910,910,0,"s_33_1",0
911,911,0,"s_33_2",0
912,912,0,"s_33_3",0
913,913,0,"s_35",0
914,914,0,"s_32",0
915,915,0,"s_1",0
916,916,0,"s_18",0
917,917,0,"s_33_1",0
918,918,0,"s_33_2",0
919,919,0,"s_33_3",0
920,920,0,"s_35",0
921,921,0,"s_32",0
922,922,0,"s_0",0
923,923,0,"s_22",0
924,924,0,"s_18",0
925,925,0,"s_33_1",0
926,926,0,"s_33_2",0
927,927,0,"s_33_3",0
928,928,0,"s_35",0
929,929,0,"s_32",0
930,930,0,"s_0",0
